RegionID,SizeRank,RegionName,RegionType,State,Metro,CountyName,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/30/23,12/31/23,1/31/24,2/29/24,3/31/24,4/30/24,5/31/24,6/30/24,7/31/24,8/31/24,9/30/24,10/31/24,11/30/24,12/31/24,1/31/25,2/28/25,3/31/25,4/30/25,5/31/25,6/30/25
48045,20220,Trona,city,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,82722.75086,83629.31254,84820.46647,86249.55105,87179.29848,86913.04203,86834.03244,87394.29592,89160.32124,91360.87897,93526.20569,95110.74286,96561.44158,97321.05367,98916.3759,98922.11134,98635.26562,98090.80164,99012.40584,101287.4504,104831.4563,109570.556,113833.1394,116942.0266,118721.5046,120478.0949,121506.0737,123688.4008,126392.2704,129872.3823,133543.1139,135950.9207,138209.9132,140155.5951,143567.6327,146397.7393,148085.1289,147880.1065,148378.1842,149399.2528,151259.4981,151230.0297,150050.0024,146918.5371,143271.4431,138188.4862,134527.966,130558.8211,126757.0088,122561.2973,119906.1773,118095.2664,117094.585,116998.1485,117604.3855,117692.8679,117231.6369,116493.5826,115698.8256,113667.6234,111781.4521,111321.4186,114074.1847,120012.3417,127161.9824,135329.9193,142442.7803,148391.2475,151942.2849,154076.6264,155006.2992,157000.7709,158936.3815,159471.2557,158234.649,156422.2097,156130.7012,156763.4154,158905.043,162922.3025,166152.1356,168815.9734,169905.8398,170861.509,169771.9366,165541.3969,159261.4534,153488.0173,150324.3519,148885.206,147637.438,146276.9876,145082.7253,142881.0334,138988.1214,134017.8222,129372.4621,126243.8362,124393.2427,124916.827,126140.0288,127676.7613,126034.8288,123973.1824,122096.6988,124170.089,127389.3606,131376.4378,133492.0553,133716.944,131638.672,129683.6298,127503.5206,125944.6373,124608.6355,123501.159,122721.6315,122018.478,122545.1346,122915.6185,122978.5535
56936,16045,Herlong,city,CA,"Susanville, CA",Lassen County,83140.56655,84836.20693,86329.1938,88149.62385,89573.5035,91276.25134,93191.3217,95300.80135,96618.40348,97512.73441,98670.5948,99893.25797,100877.5175,101016.0367,101191.5508,101548.9209,102589.3217,104094.1371,106145.1604,108994.8703,111986.5465,114423.2394,114909.0106,114436.4017,113702.9247,114164.7633,115275.4187,117191.6847,119705.4723,122552.8609,125547.9129,127815.7268,130005.0931,131506.0814,133121.806,134459.5888,135384.7511,134992.3625,134187.6026,133175.9557,132688.1353,131682.6965,130588.4327,130176.8233,130740.1138,131660.6743,132613.4291,133163.509,134061.5306,134881.5851,135586.1116,135693.2226,134644.1786,133700.3871,132920.4841,131240.0685,128712.3374,125623.6494,123799.7326,121678.321,119535.3974,117740.8439,118863.6324,122704.3457,128092.9112,132967.1296,136642.9021,140017.9059,143829.3428,148595.4214,152592.4116,155569.2196,157264.9177,157844.1071,157106.0711,155086.5112,154161.4689,154523.1097,156094.8882,158496.8344,160908.4522,163184.6996,163420.8531,162346.0294,161409.5293,161057.5779,160065.4852,158613.5869,157335.9904,156858.4929,156396.7203,156185.4443,156824.6439,157729.8021,158430.5895,158984.4365,158918.9311,158528.6011,157405.4235,156249.1888,154605.4811,152411.5832,150186.5696,148661.535,148908.1564,150510.2849,152946.1666,154800.5546,155342.9226,154791.7945,153538.1958,151978.5464,150715.8867,150513.6605,151514.4488,152930.7738,153429.3951,153367.345,153067.0199,153549.2797,154237.6878
4525,10513,Edwards,city,CA,"Bakersfield, CA",Kern County,111375.1895,108398.4686,104341.0279,100871.9422,98368.89307,96115.0289,93257.9944,90315.99005,88691.8738,88504.92312,89423.93233,91619.12516,94233.33003,96540.31012,97947.99638,98697.99191,99713.22334,100959.9346,103248.615,105645.3788,108054.3996,109774.4827,110833.6034,111249.84,111515.9151,112618.9486,113563.261,114276.5489,113958.7242,114002.5489,115155.5101,117584.0783,120773.5351,123748.021,126635.817,128586.3302,129279.5276,130422.4728,132800.4427,136764.0147,140162.0484,142214.5455,143588.0413,144261.3568,144646.2915,145179.5741,146222.4459,148146.1146,149931.2938,152451.5191,155413.4475,158481.6964,161527.0978,163988.5549,166170.845,166315.2088,164767.4187,161635.963,159010.7777,156280.4223,153725.9227,151844.308,152860.7878,157330.6889,163977.5735,170841.1812,176468.9115,181374.3532,186283.6049,191063.6754,194881.0229,199095.2373,204109.3845,207924.5061,209755.8934,208951.6263,209752.9465,212239.0191,217474.7781,223612.1437,230117.157,235849.4694,240298.1027,242635.9344,243823.5766,243284.7234,240718.0063,236985.2036,234544.3785,234734.307,236188.1167,237622.901,238059.5854,238597.491,238987.027,240003.6703,241810.3472,244684.4543,248045.0955,250622.5155,251607.7732,252229.6602,252283.4363,252933.3703,253710.2684,255024.3312,255484.0455,254887.9931,253653.6257,252484.8245,252187.006,252479.1991,253721.3231,254696.2615,255694.7221,255355.9872,255869.4308,256266.6082,257155.9599,257678.3793,258066.6113
23775,12276,Boron,city,CA,"Bakersfield, CA",Kern County,102320.5669,102569.2868,102032.5821,101165.0881,100075.8603,99764.97166,99885.56098,100195.3422,101057.9708,102258.7056,103747.913,104479.6487,104497.8315,103739.6709,102996.4716,102451.5346,102482.4592,102653.5342,102728.3546,103580.6333,105038.2771,106667.5278,107410.6972,107123.0037,107975.8091,110128.4443,113360.919,115985.2806,117875.3425,119997.5577,121980.9104,123382.2532,124620.8064,126405.1846,128744.4888,130282.7957,129945.9044,129519.8428,129787.9378,132443.4342,135297.0115,137616.2075,138654.3761,139073.9059,138741.4355,138030.9812,138265.765,139331.3686,141601.7257,142998.8523,144672.5256,146104.1866,147940.6596,149707.8676,150321.7201,148966.6052,146211.1708,143213.8332,142697.0813,142468.0236,141915.5852,140868.2961,140492.9075,142893.447,146857.1606,152877.1983,158259.7889,162730.8221,165914.9101,169300.7471,172791.7203,176422.7205,179489.3205,181062.7388,181466.9442,180693.1174,180396.0231,181443.6467,183558.2504,187338.8897,190996.9377,194587.9604,197984.5407,201476.9802,205666.1833,208983.6794,210172.2377,209356.3223,207654.7257,206489.7573,205400.4488,203568.4596,201686.5431,200295.1557,200340.6732,200110.9443,200169.217,200427.3552,202159.4632,204442.5495,205748.3335,206446.211,206718.9155,208072.9585,210107.827,212842.7968,215934.8579,218403.3409,220284.7331,221425.1172,223265.6299,224426.6731,225430.5403,226119.2845,227296.1327,228140.3057,228470.6058,228588.0414,228143.1916,227323.9751,225651.5056
43173,27328,Yermo,city,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,121173.6631,120305.2193,117653.2513,115327.5477,113835.3058,112375.4517,110358.2905,109097.992,110381.672,113246.3114,117288.5413,120950.326,124440.8926,125744.3909,126249.7209,125360.4065,123325.9159,120182.0598,117482.5486,117943.2645,121046.6786,126750.7082,132445.451,137591.4927,142509.97,147519.6018,152734.0462,156968.5653,160813.6348,164031.6387,168081.3461,171377.071,175380.9562,178727.6619,182257.5303,184579.916,185368.2198,185989.3413,187139.3532,190102.9165,193327.6591,197129.6977,199547.8467,198625.7291,194615.7751,189190.1406,185607.0934,183218.8673,181212.243,179035.1309,176147.9263,174432.4824,175914.8036,180427.274,186020.7689,190545.5895,193236.2922,193925.5542,193705.4194,192426.0855,191485.729,191338.6321,193869.4949,199702.2769,208313.5154,218134.9277,226535.6474,232320.2073,236350.2243,239378.6348,241368.7741,242935.7155,244219.9289,244593.0026,244543.0202,245429.0704,247743.2352,251095.8402,255832.0182,262547.7825,268835.7954,271755.2742,271846.9464,270194.2266,268971.5485,266112.203,262388.4528,258776.6527,257082.6202,255058.921,250712.3077,245290.8297,240892.2561,236346.6068,230815.9728,224925.6744,220326.1522,218250.6431,218456.9809,221758.2497,225691.293,230047.1553,231911.539,231735.4517,228823.642,227705.5988,227925.3603,229699.4672,231232.6197,231768.0111,232995,234359.9352,235693.5123,235902.6551,235913.9625,235324.8871,233629.921,231000.8661,228265.7565,225239.1388,221843.1769
47855,30062,Stirling City,city,CA,"Chico, CA",Butte County,128153.6197,129819.3229,130428.5021,131890.7674,134034.9399,137552.3562,141379.247,146700.8784,151593.4623,155331.7971,156624.37,157803.6789,158073.3411,158453.5532,158163.7541,158942.1901,159793.014,161221.0218,162705.6258,165196.5559,167978.7824,171328.3827,172476.4536,171732.2346,170009.7266,169550.2338,169899.2463,169129.7739,167545.6499,166413.5574,167122.4694,169336.6949,171752.4717,174911.5625,177541.2592,180082.3888,182696.6791,187844.4508,194624.3183,201435.8887,203512.0453,202827.2099,201706.1668,203925.7703,207812.7928,210837.8837,213983.1411,218616.3198,224833.7893,231007.833,235640.8933,238930.243,239844.668,239582.5187,239017.8117,238390.4334,237280.3713,235549.2479,232425.1448,228671.82,226271.2091,226768.1035,229180.2504,231942.6322,234070.9579,235801.0635,237191.5185,240134.4853,244422.8123,249496.9025,252932.5128,255360.9253,255764.54,253106.0789,247848.7402,242295.5811,239392.7164,238349.3717,237473.691,237964.0294,240486.1515,245686.0454,250242.7416,253436.2415,254581.5715,254215.9223,251702.5774,248426.4567,245766.127,242531.6137,238201.9374,234233.9172,233280.0006,234626.7267,236031.2857,235791.2989,234086.7464,231984.8887,229740.0187,227633.6055,224596.7083,221924.7295,218838.1886,217018.9875,217226.4528,220458.6804,224386.4906,227144.4808,227583.2843,226508.966,223319.8285,219862.8444,216429.9976,214709.275,214515.4889,214061.1488,213488.8111,212278.0424,212532.3756,213820.3143,215517.1811
36496,23189,Ryderwood,city,WA,"Longview, WA",Cowlitz County,134218.0456,134778.8085,135048.4941,135476.8337,136589.817,137770.3626,139413.1449,140741.3836,142125.1419,143162.592,144341.439,145774.945,147068.4803,147571.5732,147589.6962,147662.8792,148339.4405,149387.9329,151049.7063,152755.9274,154342.3567,156000.2717,157770.9483,160069.1861,162132.081,164599.1297,166864.142,169311.4023,171718.2782,173921.3268,175377.3309,176250.8901,176913.6872,178731.4867,180744.6802,182132.7624,182717.4113,182967.8032,183787.3645,184358.0984,185682.7761,187624.4305,190714.836,192946.9872,193604.6252,193729.0541,194601.3999,197001.8265,199374.3634,202182.2093,205580.4751,208883.6541,211773.0756,213628.5998,215756.766,217493.5564,219115.8808,220789.7095,222903.1138,225271.1306,226786.1376,228105.7468,230600.9515,234563.8705,240176.3811,245800.022,251476.709,256946.2139,263017.3773,270268.2669,276804.712,282329.9347,286212.6588,288786.6763,289914.4995,290271.1904,291252.5906,293023.0162,296050.9763,301035.8727,308023.8596,315416.4923,321532.3062,325360.6341,327583.2401,327486.9905,324816.7231,320448.7421,315881.8073,312269.408,309116.7339,307943.644,308933.9789,311086.613,312589.7838,313290.4608,314730.9579,316173.4423,317688.0356,318251.1839,317860.4806,317127.5042,315913.7152,316489.7671,317983.9249,320655.9387,322816.1967,324236.2263,324435.122,323960.2567,323142.3404,322223.1673,321113.3577,320336.5954,320376.0651,321897.5195,323728.0264,324383.2621,323002.1191,321249.5816,320368.2911
44406,4947,California City,city,CA,"Bakersfield, CA",Kern County,136614.1638,137661.2059,138791.9725,139726.4473,141132.6128,142145.481,143048.1791,143876.6905,145164.1003,146706.8518,148314.4636,149579.5287,150318.0912,150803.7581,151869.4455,153389.1273,155334.6512,156949.9439,158710.4033,160417.7805,162340.3778,164486.287,166384.0611,167628.1331,168562.5284,169434.0264,171032.0522,173097.4784,175746.4822,178558.0261,181137.1518,183689.3646,186037.6637,188907.415,191402.1864,193763.8455,195399.0662,197181.4343,198839.4594,200498.2945,201729.9024,203010.1069,204458.665,206399.8946,208451.806,210255.5434,211185.7007,211502.6451,211671.4721,211875.5557,212265.677,212517.293,213218.809,214441.5307,215812.3894,217244.2202,218003.7542,218385.1904,218577.7931,218743.9132,219094.3095,219756.3431,221005.9925,223287.8874,226548.2994,230934.4689,235706.5642,240586.0534,244996.5246,249897.3518,255442.298,261966.9289,268350.7519,274062.2533,279530.8362,285309.6068,291131.6832,296897.9249,302113.0428,307375.7877,312243.3661,317243.1121,322409.154,327670.7015,332248.4582,334430.2729,333764.1093,331037.7557,327969.101,325081.3657,322103.6498,319413.8806,317474.3473,316609.1645,316718.2469,317386.2353,319396.0125,321835.9207,324519.5982,326108.9557,327111.0006,328099.4374,328766.5954,329567.255,330338.0945,331689.9264,333398.8639,335130.6504,336696.7113,337612.8993,337865.4606,337627.7145,337467.8208,337636.8716,338010.5781,338074.5526,337947.9813,337143.0281,335925.3411,334208.2866,332558.0505
44839,26829,Daggett,city,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,150191.3684,147998.7076,144271.2574,142098.4243,139713.7815,137283.2301,133813.2415,132316.1638,134304.4467,139173.9071,144872.633,150067.6708,153697.2706,155182.2548,156264.6264,155881.0447,153734.2946,149240.1206,145784.8308,146338.9201,150753.6893,157040.3055,162500.4264,166305.2269,169500.4283,172592.8344,175418.3489,178396.722,181695.9637,184776.8765,188723.2075,191643.0201,194417.5939,195296.2453,195201.2976,194797.9692,193377.9992,193107.3951,194397.6249,197917.1883,202052.0468,205775.3039,208756.1436,208898.2146,206214.7973,201890.0748,198846.8574,196972.8732,195372.4636,193761.5642,191894.5278,191542.8495,194058.2953,199229.7881,204865.328,208737.0744,210874.6875,211778.1924,212816.1499,213199.8121,213332.5607,215636.9899,221445.3722,231365.0848,242658.913,254676.8101,265918.929,273888.1751,279862.0782,283644.6931,286969.7537,289069.9184,291897.6018,292162.5666,292954.9952,293414.7384,296458.7816,300558.144,306048.4871,314352.0803,321942.9446,326258.7397,327270.8573,326758.8941,326524.3647,323049.7949,316930.0927,309811.0834,306601.1228,303126.7137,297586.7431,290141.6724,282969.2013,276029.9357,268133.0222,262239.8419,257543.4407,254997.362,253461.2086,254904.5216,257476.4876,259994.4563,261094.5467,260305.951,257673.5031,256384.9432,255529.4002,255847.7333,255515.8092,255124.4849,255999.4044,256331.5736,256179.8413,253998.0688,251980.0086,249143.6254,246993.4864,244850.6528,243932.7537,243221.4829,241698.5555
49578,18984,Richgrove,city,CA,"Visalia, CA",Tulare County,146631.5486,146914.6217,147808.1261,149237.895,150967.4744,151883.0134,152038.6032,152264.4139,153012.074,153959.6422,155262.5062,156392.0427,157941.5236,159071.9599,160072.7833,161144.0039,162840.9424,165675.0797,168949.3217,172131.7418,175332.5035,177675.5948,178471.6183,177483.1851,176543.1231,176568.9033,176853.0024,176228.6977,175806.992,176364.9425,178320.9093,180642.9839,182529.1433,184352.1929,185169.8911,185207.1348,184924.1689,185256.2005,186498.6227,187944.8635,188954.4431,189366.5919,189646.4463,189974.2319,190725.7147,191704.404,193345.7097,195180.0995,197274.8604,198608.4521,199957.4798,200868.2176,203101.1389,205437.801,207213.4958,207561.1686,206678.6513,205387.1215,204769.4826,204825.2317,205191.419,205383.5256,206905.7926,210268.8857,215029.2621,219499.5976,222586.8598,225142.1519,227382.2116,230378.098,232562.7692,234715.9384,236593.8673,237526.7605,237132.7907,235208.8993,234062.1306,234332.8366,235600.4315,239536.1212,244835.7326,251706.3053,256571.6897,260691.2826,263699.3516,266905.8967,268689.029,269702.867,270714.034,270927.9395,271702.7248,270500.847,269880.8524,269950.6299,270356.2526,270764.8071,270574.4432,271504.5837,273343.8946,274829.5249,276019.637,275922.7356,275928.2931,276696.8992,277700.6091,279050.909,280254.3349,282261.0902,283455.9093,283481.9035,283537.3359,284109.9551,285371.5764,287279.5955,290248.5234,292728.7794,294003.5816,293955.1933,294268.3706,294480.1238,293498.3785
